driverId,driver_name,nationality,total_races,avg_finish_position,avg_grid_position,avg_points_per_race,win_rate,podium_rate,dnf_rate,avg_fastest_lap_speed,avg_best_quali_time
63,Mika Salo,Finnish,34,11.323529411764707,13.294117647058824,0.23529411764705882,0.0,0.0,0.8529411764705882,,92.73166666666667
67,Sébastien Buemi,Swiss,55,14.327272727272728,14.527272727272727,0.5272727272727272,0.0,0.0,0.6727272727272727,198.88221568627452,91.59200000000001
153,Jaime Alguersuari,Spanish,46,13.891304347826088,15.152173913043478,0.6739130434782609,0.0,0.0,0.6956521739130435,199.08,92.28643478260871
154,Romain Grosjean,French,181,13.143646408839778,11.707182320441989,2.160220994475138,0.0,0.055248618784530384,0.6574585635359116,200.75933532934133,89.60059550561799
155,Kamui Kobayashi,Japanese,76,13.986842105263158,14.25,1.644736842105263,0.0,0.013157894736842105,0.5921052631578947,195.62800000000001,92.78949333333333
807,Nico Hülkenberg,German,230,11.92608695652174,10.491304347826087,2.4478260869565216,0.0,0.0,0.49130434782608695,203.28764953271028,88.61984279475982
808,Vitaly Petrov,Russian,58,14.362068965517242,14.60344827586207,1.103448275862069,0.0,0.017241379310344827,0.7241379310344828,196.00243636363638,91.67161403508773
811,Bruno Senna,Brazilian,46,15.695652173913043,16.91304347826087,0.717391304347826,0.0,0.0,0.6739130434782609,193.20863636363637,94.3216304347826
813,Pastor Maldonado,Venezuelan,96,15.010416666666666,14.166666666666666,0.7916666666666666,0.010416666666666666,0.010416666666666666,0.6666666666666666,195.08747126436782,92.69714130434784
814,Paul di Resta,British,59,11.847457627118644,12.11864406779661,2.0508474576271185,0.0,0.0,0.423728813559322,196.42242105263156,91.50752542372882
815,Sergio Pérez,Mexican,283,9.332155477031803,9.441696113074205,5.6007067137809186,0.02120141342756184,0.13780918727915195,0.3992932862190813,206.02836162361623,87.68113167259787
817,Daniel Ricciardo,Australian,257,10.206225680933851,9.949416342412452,5.136186770428016,0.0311284046692607,0.1245136186770428,0.4163424124513619,204.86002,87.84462598425196
818,Jean-Éric Vergne,French,58,13.982758620689655,14.068965517241379,0.8793103448275862,0.0,0.0,0.5172413793103449,196.48420689655174,93.1793448275862
819,Charles Pic,French,39,18.076923076923077,20.615384615384617,0.0,0.0,0.0,0.8974358974358975,193.951641025641,95.57476923076923
820,Max Chilton,British,35,17.685714285714287,20.085714285714285,0.0,0.0,0.0,0.8857142857142857,193.59797058823528,96.65797142857143
821,Esteban Gutiérrez,Mexican,59,15.067796610169491,15.271186440677965,0.1016949152542373,0.0,0.0,0.7796610169491526,196.3511186440678,93.17560344827587
822,Valtteri Bottas,Finnish,247,8.96761133603239,7.862348178137652,7.238866396761134,0.04048582995951417,0.27125506072874495,0.32388663967611336,206.72771900826447,86.70069230769231
824,Jules Bianchi,French,34,17.11764705882353,18.823529411764707,0.058823529411764705,0.0,0.0,0.9117647058823529,192.919125,96.09945454545455
825,Kevin Magnussen,Danish,186,13.56989247311828,12.93010752688172,1.053763440860215,0.0,0.005376344086021506,0.6505376344086021,205.62833519553072,87.33626630434783
826,Daniil Kvyat,Russian,112,12.223214285714286,11.919642857142858,1.8035714285714286,0.0,0.026785714285714284,0.6785714285714286,202.24533027522938,88.90433928571429
828,Marcus Ericsson,Swedish,97,14.958762886597938,16.876288659793815,0.18556701030927836,0.0,0.0,0.8762886597938144,197.00060416666668,91.40855789473684
830,Max Verstappen,Dutch,209,5.645933014354067,4.956937799043062,13.935406698564593,0.3014354066985646,0.5358851674641149,0.18660287081339713,209.6672110552764,85.00077073170732
831,Felipe Nasr,Brazilian,40,14.15,15.9,0.725,0.0,0.0,0.775,195.01342105263157,91.58317948717949
832,Carlos Sainz,Spanish,208,9.274038461538462,8.58173076923077,5.7860576923076925,0.019230769230769232,0.12980769230769232,0.41346153846153844,206.93546113989638,85.70234466019419
835,Jolyon Palmer,British,37,15.27027027027027,16.324324324324323,0.24324324324324326,0.0,0.0,0.8378378378378378,197.61908823529413,90.06725714285714
836,Pascal Wehrlein,German,39,16.128205128205128,17.384615384615383,0.15384615384615385,0.0,0.0,0.9487179487179487,195.71805555555557,90.45936842105263
838,Stoffel Vandoorne,Belgian,42,13.19047619047619,15.19047619047619,0.6190476190476191,0.0,0.0,0.8095238095238095,205.35185,87.42080952380952
839,Esteban Ocon,French,156,11.224358974358974,11.205128205128204,2.8205128205128207,0.00641025641025641,0.02564102564102564,0.5192307692307693,208.275,85.81161038961038
840,Lance Stroll,Canadian,168,12.369047619047619,13.154761904761905,1.7023809523809523,0.0,0.017857142857142856,0.5654761904761905,210.02363522012578,85.58469512195121
841,Antonio Giovinazzi,Italian,62,13.85483870967742,14.370967741935484,0.3387096774193548,0.0,0.0,0.7419354838709677,209.29889999999997,84.30425
842,Pierre Gasly,French,154,11.25974025974026,10.7012987012987,2.7662337662337664,0.006493506493506494,0.032467532467532464,0.4675324675324675,209.77162068965515,84.95637500000001
844,Charles Leclerc,Monegasque,149,7.557046979865772,6.442953020134228,9.14765100671141,0.053691275167785234,0.28859060402684567,0.2751677852348993,211.78630935251797,84.05204697986576
846,Lando Norris,British,128,7.8515625,7.2578125,7.421875,0.03125,0.203125,0.265625,212.095568,84.144390625
847,George Russell,British,128,10.53125,9.9140625,5.1875,0.0234375,0.1171875,0.4609375,211.012384,84.7729296875
848,Alexander Albon,Thai,105,11.914285714285715,11.41904761904762,2.2666666666666666,0.0,0.01904761904761905,0.44761904761904764,210.94560204081634,85.13341176470588
849,Nicholas Latifi,Canadian,61,15.852459016393443,16.672131147540984,0.14754098360655737,0.0,0.0,0.7049180327868853,207.23886440677967,86.44175409836066
852,Yuki Tsunoda,Japanese,90,13.522222222222222,12.133333333333333,0.9666666666666667,0.0,0.0,0.5777777777777777,209.39921951219515,85.27519540229885
854,Mick Schumacher,German,44,15.659090909090908,15.340909090909092,0.2727272727272727,0.0,0.0,0.7272727272727273,206.79890243902437,86.76523809523809
855,Guanyu Zhou,Chinese,68,14.647058823529411,15.014705882352942,0.23529411764705882,0.0,0.0,0.5882352941176471,209.0199393939394,86.26979104477611
857,Oscar Piastri,Australian,46,7.891304347826087,7.434782608695652,7.543478260869565,0.043478260869565216,0.21739130434782608,0.17391304347826086,213.35606818181816,83.94578260869565
858,Logan Sargeant,American,36,16.333333333333332,16.38888888888889,0.027777777777777776,0.0,0.0,0.6666666666666666,210.5982,86.97783870967743
